,train,test,all
4364,0.998836019601,0.998744092421,0.998732902903
4365,0.997899042324,0.997207678883,0.9974001956
4366,0.999099612956,0.999146313983,0.99908350744
4367,0.996786907549,0.99706939128,0.996955276393
4368,0.997541367813,0.996800943786,0.996953226074
4369,0.998755168453,0.998817220929,0.998304386247
4370,0.99771082558,0.997857410027,0.997918926289
4371,0.999434582405,0.999366130681,0.999399256554
4372,0.997503009765,0.997645296834,0.997541667606
4373,0.997666119913,0.997585234469,0.997519114098
4374,0.996682147173,0.996531305695,0.996639527278
4375,0.998671353504,0.998652010751,0.998597581854
4376,0.998884816172,0.99859367285,0.998464311124
4377,0.5,0.5,0.5
4378,0.997979633069,0.997862401373,0.997939429478
4379,0.997655396694,0.997909807337,0.997617529407
4380,0.999211080332,0.999242357111,0.999153218283
4381,0.996962640913,0.997292538555,0.996901968101
4382,0.998349201474,0.998111081386,0.998167014879
4383,0.997572285749,0.997027859195,0.997193113389
4384,0.998045459974,0.998019617908,0.998078851165
4385,0.998554178382,0.998462833053,0.998513518778
4386,0.998421244024,0.998360974188,0.998464311124
4387,0.997306902811,0.997514365896,0.997433000703
4388,0.998702036835,0.998711857528,0.998669343016
4389,0.997331730175,0.997389187869,0.997330484757
4390,0.997870585136,0.998114664542,0.997195163708
4391,0.9975715337,0.997124486959,0.99713365414
4392,0.997924343181,0.997607904768,0.997635982277
4393,0.997696977227,0.997407115396,0.997697491845
4394,0.997367109316,0.99739628982,0.997295629335
4395,0.997677589363,0.997415618756,0.997445302617
4396,0.999615619328,0.999553307495,0.999567382706
4397,0.999713136982,0.999583855214,0.999659647058
4398,0.996909336219,0.996591529364,0.996787150241
4399,0.998082848636,0.997201267063,0.997453503893
4400,0.998661087866,0.998547975669,0.998347442945
4401,0.996933178015,0.996978681577,0.997055742021
4402,0.996852183977,0.99665491022,0.996243815726
4403,0.997501505117,0.99736732775,0.997264874551
4404,0.997835812526,0.997077930328,0.997236170086
4405,0.99825617854,0.997096370253,0.997455554211
4406,0.5,0.5,0.5
4407,0.996969457291,0.996636253622,0.996463199851
4408,0.999510153188,0.999461939644,0.999458715803
4409,0.999718158185,0.999717413359,0.999169620835
4410,0.999472281706,0.999469788552,0.999421810063
4411,0.997531119474,0.997710851077,0.997123402545
4412,0.99757037834,0.997273531146,0.997100849037
4413,0.997817182398,0.997826477682,0.997531416012
4414,0.998051789169,0.99701959008,0.997111100632
4415,0.998068093537,0.997911443599,0.998054247338
4416,0.997639137848,0.997440358427,0.997545768244
4417,0.997631284736,0.997658329335,0.997603177174
4418,0.999259197603,0.999154986657,0.999183973067
4419,0.998764935781,0.998725911042,0.998732902903
4420,0.997660307712,0.997028086617,0.997279226784
4421,0.997605200137,0.997650151859,0.997467856125
4422,0.997925195823,0.998045645765,0.998052197019
4423,0.997231907807,0.997181385855,0.997367390498
4424,0.997487912053,0.997638493855,0.997566271434
4425,0.997399267399,0.997318063527,0.996875313955
4426,0.997633150123,0.997861739013,0.997781554921
4427,0.998121659385,0.997013997673,0.997273075827
4428,0.996415699632,0.997125623519,0.996768697371
4429,0.997322080312,0.997067110656,0.997164408924
4430,0.99736616711,0.99718568201,0.997213616578
4431,0.5,0.5,0.5
4432,0.997499597042,0.997172007753,0.997519114098
4433,0.998731966208,0.998515717047,0.998595531535
4434,0.999020443124,0.998918016699,0.998775959601
4435,0.997416726361,0.997240961556,0.996912219696
4436,0.999030797253,0.999082129807,0.998985092131
4437,0.998590953328,0.997683304021,0.997925077246
4438,0.998340730079,0.998350819038,0.998171115517
4439,0.997744152887,0.997646303156,0.997674938337
4440,0.997017574236,0.996278951253,0.996452948256
4441,0.999211188248,0.999121429565,0.999220878808
4442,0.9992820941,0.999311969203,0.999341847624
4443,0.997496984592,0.997465325994,0.996766647052
4444,0.997607379648,0.997580012389,0.996983980858
4445,0.996584390021,0.996120482802,0.996340180715
4446,0.997111805495,0.996954360559,0.997113150951
4447,0.996954655441,0.996947644267,0.996813804387
4448,0.998330247761,0.998254314787,0.998119857544
4449,0.997650960932,0.996409320231,0.996901968101
4450,0.996917302745,0.996559336038,0.996787150241
4451,0.998485292681,0.998422679314,0.998324889437
4452,0.998437233027,0.998352949106,0.998402801556
4453,0.999612611643,0.999577094103,0.999542778879
4454,0.998464130803,0.998318657557,0.99835564422
4455,0.997722059322,0.996943263998,0.997213616578
4456,0.997507530182,0.996788098353,0.996906068739
4457,0.99869300029,0.998764097684,0.998589380578
4458,0.997610756349,0.997732646363,0.997389944006
4459,0.998803968307,0.998553104647,0.99858527994
4460,0.999093548269,0.998296544298,0.998570927708
4461,0.996490439958,0.996852834047,0.996744093544
4462,0.99905570892,0.999052008346,0.999009695958
4463,0.5,0.5,0.5
4464,0.99874168841,0.998950229002,0.99835564422
4465,0.999799883132,0.999813368866,0.999766263642
4466,0.998428626925,0.998150350654,0.998322839118
4467,0.997558308558,0.997785360484,0.99742069879
4468,0.999228942795,0.999241474975,0.999239331678
4469,0.999665758432,0.999610281992,0.999606338766
4470,0.997246490562,0.9973874238,0.99719106307
4471,0.998786809765,0.99892562408,0.998827217574
4472,0.998859817315,0.998897203961,0.998359744858
4473,0.997501736649,0.997469724817,0.997328434438
4474,0.996839650581,0.996768140978,0.99688556555
4475,0.99805752164,0.998157433452,0.99820392062
4476,0.99825843464,0.997319586745,0.997594975899
4477,0.5,0.5,0.5
4478,0.998305422242,0.997999879268,0.997539617287
4479,0.996721854171,0.996721535689,0.996877364274
4480,0.998114269269,0.998154501757,0.998041945425
4481,0.997289133297,0.997648238919,0.99757242239
4482,0.997918243755,0.998008764803,0.997931228203
4483,0.997618971524,0.997930605399,0.997750800137
4484,0.997545620361,0.997536456306,0.99751501346
4485,0.996235807693,0.996179160302,0.996594420262
4486,0.997130221218,0.997555991646,0.996534961013
4487,0.99769788542,0.997299905132,0.997402245919
4488,0.997232231679,0.997127323866,0.996934773204
4489,0.999305185112,0.999378012093,0.998802613747
4490,0.996961254981,0.996385205304,0.9966743827
4491,0.997730534326,0.997620461486,0.997574472709
4492,0.999117379792,0.998110099475,0.998369996453
4493,0.999057805616,0.998679862608,0.998810815022
4494,0.997064119627,0.995991759506,0.996461149532
4495,0.997436394936,0.997614949268,0.997408396876
4496,0.996922559706,0.996871613291,0.996657980149
4497,0.5,0.5,0.5
4498,0.998449585695,0.998234163445,0.997906624375
4499,0.997441497397,0.997277323998,0.997320233162
4500,0.996999275249,0.996763337283,0.996297124018
4501,0.997401409658,0.996823761348,0.996996282772
4502,0.997526570222,0.99738048461,0.997141855416
4503,0.997471336035,0.997217447273,0.997506812185
4504,0.998879334766,0.997968886472,0.998191618706
4505,0.998393993203,0.99751763572,0.997738498223
4506,0.997252398126,0.996864395502,0.99697988022
4507,0.997746177796,0.997381788795,0.997459654849
4508,0.99841688868,0.998491800764,0.998322839118
